trackid,time4,w4cq01,w4homlang,w4hstruct_1,w4hstruct_2,w4hstruct_3,w4hstruct_4,w4hstruct_5,w4hstruct_6,w4hstruct_7,w4hstruct_8,w4hstruct_9,w4hstruct_10,w4hstruct_10_TEXT,w4momed,w4relpar_1,w4relpar_2,w4relpar_3,w4relpar_4,w4relpar_5,w4relpar_6,w4relpar_7,w4sch_1,w4sch_2,w4sch_3,w4remsch_1,w4remsch_2,w4remsch_3,w4remsch_4,w4remsch_5,w4remsch_6,w4agesmart,w4parmon_1,w4parmon_2,w4parmon_3,w4parmon_4,w4parmon_5,w4parmon_6,w4parmon_7,w4parmon_8,w4parmon2_1,w4parmon2_2,w4parmon2_3,w4parmon2_4,w4parmon2_5,w4parmon2_6,w4parmon2_7,w4parmon2_8,w4parmon2_7_TEXT,w4parmon3,w4smwuse_1,w4smwuse_2,w4smwuse_3,w4smwuse_4,w4smwuse_5,w4smwuse_6,w4smwuse_7,w4smwuse_8,w4smwuse_9,w4smwuse_10,w4smwuse_11,w4smwuse_12,w4smwuse_12_TEXT,w4gameplay_1,w4gameplay_2,w4gamebeh_2,w4dep_1,w4dep_2,w4dep_3,w4dep_4,w4dep_5,w4dep_6,w4dep_7,w4dep_8,w4dep_9,w4dep_10,w4socanx_1,w4socanx_2,w4socanx_3,w4socanx_4,w4socanx_5,w4socanx_6,w4feel1,w4feel2,w4feel3,w4stress_1,w4stress_2,w4stress_3,w4stress_4,w4stress_5,w4stress_6,w4stress_7,w4stress_8,w4stress_10,w4stress_11,w4stress_12,w4bodimg_1,w4bodimg_2,w4bodimg_3,w4bodimg_4,w4sexor,w4sexor_5_TEXT,w4covidh_1,w4covidh_2,w4covidh_3,w4covidh_4,w4covidh_5,w4covidh_6,w4covidh_7,w4covidh_10,w4covidc_1,w4covidc_2,w4covidc_3,w4covidc_4,w4covidc_5,w4covidc_6,w4cparcheck,w4gender,w4gender_3_TEXT,w4grade,w4schgra,w4iep,w4iep_TEXT,w4oc,w4race_4,w4race_2,w4race_5,w4race_1,w4hisp,w4race_7,w4race_8,w4race_6,w4race_6_TEXT
4,1,3,6,1,1, , , , , , , , , ,3,4,2,1,5,1,1,1,3,3,2,0,0,0,0,0,1,11,1,1,2,4,1,1,4,3, , ,1, , , , , , ,8, , ,1, ,1, , , ,1, , , , ,1,1,2,0,1,0, ,2,1,0,1,1,0,3,3,1,1,1,1,2,1,2,4,3,3,4,1,4,1,4,3,1,1,4,2,4,1,2, ,1,0,0,0,0,0,0,0,4,4,2,4,2,2,6,2, ,9,2,2, ,1,1, , , ,0, , , , 
5,1,3,1,1,1, , , ,1, , , ,1,my parrot,4,4,4,3,5,3,3,1,3,3,3,0,0,0,0,0,1,12,5,1,3,5,4,4,4,2, , , , ,1,1, , , ,8, ,1, , , ,1,1, , , , , , ,2,3,1,0,1,0,3,1,0,3,1,0,0,3,2,1,1,1,1,1,1,1,4,3,2,4,1,3,4,4,3,1,1,4,2,3,2,1, ,0,1,0,0,0,0,0,0,3,2,3,1,1,1,2,1, ,8,2,2, ,1,1, , , ,0, , , , 
12,1,4,7,1,1, ,1,1, , , , , , ,6,4,4, ,5,1,2,3,3,3,3,0,0,0,0,0,1,9,5,1,1,4,3,4,4,4, , , , , , , ,1, ,8, , , , ,1, , , ,1, , , , , , , ,1,1,0,0,1,0,1,1,0,1,4,4,4,1,1,1,1,2,3,3,2,4,1,1,4,3,5,3,1,1,1,4,2,4, , ,1,0,0,0,0,0,0,0,2,2,2,2,4,4,3,1, ,8,3,2, ,2, , , , ,0, ,1, , 
13,1,3,1,1, , , , , , , , , , ,4,4,4,4,5,1,1,2,3,3,3,0,0,0,0,0,1,12,3,3,2,2,1,4,1,2,1, , , ,1,1, , , ,8, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,999,999,999,999,999,999,999,999, , , , , , , ,1, ,10,2,1,I am in the PLC,2, , , ,1,0, , ,1,American/ Irish Decent
14,1,3,1,1,1, , , , , , , , , ,2,4,4,3,4,1,1,1,3,3,3,0,0,1,0,0,0,12,4,1,1,4,1,4,2,2,1, , , ,1,1, , , ,8, ,1, , ,1, , , ,1, , , , ,1,1,1,0,0,0,0,0,0,1,0,0,0,4,4,4,1,1,1,2,1,2,3,2,4,5,1,4,3,4, ,1,1,4,1,4,1,1, ,1,0,0,0,0,0,0,0,4,5,3,1,3,1,2,1, ,8,1,2, ,1, , , ,1,0, , , , 
15,1,4,1,1,1,1, ,1,1, , , , , ,6,4,4,2,3,3,3,1,2,2,1,0,0,0,0,0,1,11,3,1,1,2,1,2,5,5, , , , , , , ,1, ,8, , , , ,1, , , , , , , , ,1,1,2,1,1,0,1,2,1,0,0,0,0,2,1,1,1,1,1,1,1,1,3,3,3,3,1,3,1,3,2,1,1,1,1,3,2,1, ,0,0,0,0,0,0,0,1,2,3,3,1,1,1,6,1, ,9,2,2, ,2, , , ,1,0, , , , 
19,1,4,2,1, , , , ,1, , , , , ,1,4,3,2,1,3,1,2,3,2,2,0,0,0,0,0,1,11,3,3,1,4,1,4,1,1,1, , , , ,1, , , ,8, ,1, , , , , ,1,1, , , , ,1,2,2,0,1,2,1,3,0,3,2,2,2,4,4,4,1,1,1,3,3,3,1,5,5,5,1,3,1,3,1,1,1,1,3,3,3,1, ,0,0,0,0,0,1,0,0,3,5,5,4,5,3,6,1, ,8,3,2, ,2, , , , ,1,1, , , 
22,1,3,1,1,1, , ,1,1,1, , , , ,4,4,4,3,5,1,1,1,3,3,2,0,0,0,0,0,1,11,3,1,3,4,2,3,3,2,1, , , , , , , , ,8, ,1,1, , , , , , , , , , ,2,2,1,1,1,1,2,3,0,0,1,0,1,4,1,3,3,3,2,2,2,2,3,3,4,3,1,3,3,3,2,4,3,4,3,4,3,1, ,1,1,0,0,0,0,0,0,4,3,3,4,4,4,5,2, ,9,1,2, ,1, , , ,1,0, , , , 
25,1,3,1,1, ,1, , , , , , , , ,4,4,5,4,5,1,2,1,3,3,3,0,0,0,0,0,1,8,3,1,2,5,1,5,3,1,1, ,1, , , , , , ,8, ,1, , , ,1, ,1,1, , , , , , , ,0,1,0,0,0,1,0,0,0,0,4,4,4,3,2,2,2,2,3,3,3,4,3,1,3,3,2,3,5,3,5,1,5,2,2, ,0,1,0,0,0,0,0,0,4,4,3,5,3,3,1,2, ,9,2,2, ,2, , , ,1,0, , , , 
27,1,4,1,1,1, , , ,1, , , , , ,4,4,4,2,5,2,2,1,3,3,2,0,1,0,0,0,0,12,4,2,3,5,1,5,2,3, , , , , , ,1, ,sometimes during meals but not always,8, ,1, , ,1, , , , , , , , ,2,2,2,1,2,0,0,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,4,2,1,4,2,3,2,4,2,3,4,3,5,2, ,0,1,0,0,0,0,0,0,4,5,4,3,2,5,1,2, ,8,1,2, ,1, , , ,1,0, , , , 
