home.lang,both.parents,siblings,momed.hs,momed.college,rel.parents,phone.use,phone.own,parmon1,parmon2,parmon3,parmon4,parmon5,parmon6,parmon7,parmon8,phone.limit,phone.teach,gameplay1,gameplay2,game.effect,grade,grades.rec,white,w2home.lang,w2both.parents,w2siblings,w2momed.hs,w2momed.college,w2rel.parents,w2phone.use,w2phone.own,w2parmon1,w2parmon2,w2parmon3,w2parmon4,w2parmon5,w2parmon6,w2parmon7,w2parmon8,w2phone.limit,w2phone.teach,w2gameplay1,w2gameplay2,w2game.effect,w2grade,w2grades.rec,w2white,w3home.lang,w3both.parents,w3siblings,w3momed.hs,w3momed.college,w3rel.parents,w3phone.use,w3phone.own,w3parmon1,w3parmon2,w3parmon3,w3parmon4,w3parmon5,w3parmon6,w3parmon7,w3parmon8,w3phone.limit,w3phone.teach,w3gameplay1,w3gameplay2,w3game.effect,w3grade,w3grades.rec,w3white,w4home.lang,w4both.parents,w4siblings,w4momed.hs,w4momed.college,w4rel.parents,w4phone.use,w4phone.own,w4parmon1,w4parmon2,w4parmon3,w4parmon4,w4parmon5,w4parmon6,w4parmon7,w4parmon8,w4phone.limit,w4phone.teach,w4gameplay1,w4gameplay2,w4game.effect,w4grade,w4grades.rec,w4white,w5home.lang,w5both.parents,w5siblings,w5momed.hs,w5momed.college,w5rel.parents,w5phone.use,w5phone.own,w5parmon1,w5parmon2,w5parmon3,w5parmon4,w5parmon5,w5parmon6,w5parmon7,w5parmon8,w5phone.limit,w5phone.teach,w5gameplay1,w5gameplay2,w5game.effect,w5grade,w5grades.rec,w5white
1,1,1,1,1,18,9,1,4,4,2,5,5,3,3,3,1,1,3,4,1,6,1,1,1,1,1,1,1,14,8,1,4,4,1,4,3,2,5,2,1,1,3,4,1,7,1,0,1,1,1,1,1,13,9,1,4,1,2,2,2,2,5,3,1,1,3,4,1,7,2,0,1,1,1,1,1,16,7,1,5,1,3,5,4,4,4,2,0,1,2,3,1,8,2,0,1,1,1,1,1,14,10,1,4,1,3,1,1,1,5,3,1,0,1,2,1,9,2,0
1,1,1,1,0,17,3,0,5,1,1,4,1,4,1,1,1,1,2,2,1,6,1,1,1,1,1,1,0,15,3,1,4,1,1,3,1,3,1,2,0,1,1,2,1,7,1,1,1,1,0,1,0,15,3,1,4,1,1,4,1,4,3,4,0,1,1,1,2,8,1,1,1,1,0,1,0,15,3,1,4,1,1,4,1,4,2,2,0,1,1,1,1,8,1,1,1,1,0,1,0,15,3,1,4,1,1,3,1,3,3,3,0,1,1,1,2,9,1,1
1,0,1,1,1,17,4,1,5,1,1,5,1,4,1,3,1,0,3,2,1,6,1,1,0,1,1,1,1,20,3,1,5,1,1,5,5,5,3,1,1,1,3,5,1,7,1,0,1,1,1,1,1,20,3,1,5,5,5,5,5,5,1,1,1,1,5,5,1,7,1,0,1,1,1,1,1,20,3,1,5,1,1,5,1,5,1,1,1,0,1,3,1,8,1,0,1,0,1,1,1,13,6,1,3,1,1,4,1,1,3,1,0,0,1,3,1,9,1,1
1,1,1,1,1,12,7,1,5,1,3,2,4,2,2,2,1,1,3,3,2,7,2,1,1,1,1,1,1,16,7,1,3,2,2,4,5,4,3,2,1,1,2,3,1,8,2,1,1,1,1,1,1,16,6,1,4,1,2,5,5,5,2,2,1,1,2,3,2,8,2,1,1,1,1,1,1,16,6,1,4,1,2,4,3,2,4,2,0,1,3,3,1,9,2,1,1,1,1,1,1,14,5,1,3,1,2,2,2,2,3,3,1,1,2,3,1,10,2,1
0,1,1,1,1,18,4,1,2,1,3,3,1,3,1,1,1,1,2,3,1,8,1,1,1,1,1,1,1,15,3,1,3,1,2,3,1,4,1,1,1,1,3,3,1,9,2,1,1,1,1,1,0,17,5,1,4,5,1,5,2,2,1,3,0,0,4,4,1,9,2,1,1,1,1,1,1,17,3,1,3,1,2,3,2,1,1,1,1,1,2,3,2,10,2,1,1,1,1,1,1,18,4,1,2,1,1,3,1,1,4,2,1,1,3,3,2,11,2,1
1,1,1,1,1,20,8,1,3,4,2,5,5,5,3,2,1,1,1,3,1,6,2,1,1,1,1,1,1,20,7,1,4,3,2,5,2,5,3,3,1,1,3,3,1,7,2,1,1,1,1,1,1,16,7,1,4,1,2,4,2,1,3,1,0,1,2,3,1,7,2,1,1,1,1,1,1,19,7,1,1,2,2,5,2,4,4,3,0,1,2,5,1,8,2,1,1,1,1,1,1,20,5,1,5,1,1,5,2,4,3,3,0,1,2,3,1,9,2,1
1,1,1,1,1,19,6,1,4,4,4,5,2,4,1,2,1,1,3,4,1,6,2,1,1,1,1,1,1,18,6,1,4,4,4,5,5,4,1,1,1,1,3,3,1,7,2,1,1,0,1,1,1,18,6,1,4,4,3,4,2,2,4,4,1,1,2,2,2,7,2,1,1,0,1,1,1,17,8,1,4,4,2,4,2,3,4,2,1,1,2,2,1,8,2,1,1,0,1,1,1,17,8,1,4,2,3,3,2,2,2,3,0,1,2,2,2,9,2,1
1,1,1,1,1,19,5,1,4,1,2,4,3,2,3,3,1,1,3,3,2,6,2,1,1,1,1,1,1,16,3,1,4,5,2,5,4,3,4,3,1,1,3,3,2,7,2,1,1,1,1,1,1,19,4,1,5,5,3,5,5,5,3,3,0,1,3,4,2,7,2,1,1,1,1,1,1,17,6,1,4,5,2,5,3,5,3,2,0,1,2,3,2,8,2,0,1,1,1,1,1,18,8,1,4,4,3,5,3,5,4,3,0,1,3,3,2,9,2,1
1,1,0,1,1,19,3,1,5,1,1,2,1,2,3,1,0,0,1,2,1,8,1,1,1,1,1,1,1,19,3,1,4,1,2,2,1,2,2,5,0,1,1,3,2,9,1,1,1,1,1,1,1,18,3,1,5,1,1,2,2,1,3,3,0,0,1,2,4,9,2,1,1,1,1,1,1,19,3,1,4,1,2,4,1,1,5,4,0,0,1,3,1,10,1,1,1,1,1,1,1,20,3,1,5,1,2,3,1,1,5,5,0,0,1,3,2,11,1,1
1,1,1,1,1,18,6,1,5,2,2,1,2,3,2,2,1,0,1,2,2,6,2,1,1,1,1,1,1,18,7,1,3,1,3,4,3,4,3,3,1,1,1,2,2,7,2,1,1,1,1,1,1,17,5,1,4,2,3,4,2,4,2,3,1,1,1,2,3,7,2,1,1,1,1,1,1,17,6,1,2,2,3,4,2,3,2,3,1,1,3,4,1,8,2,1,1,1,1,1,1,16,12,1,3,3,3,3,3,3,3,3,0,0,3,3,1,9,4,1
